32.0,84.87882,10,24.98298,121.54024
19.5,306.5947,9,24.98034,121.53951
13.3,561.9845,5,24.98746,121.54391
13.3,561.9845,5,24.98746,121.54391
5.0,390.5684,5,24.97937,121.54245
7.1,2175.03,3,24.96305,121.51254
34.5,623.4731,7,24.97933,121.53642
20.3,287.6025,6,24.98042,121.54228
31.7,5512.038,1,24.95095,121.48458
17.9,1783.18,3,24.96731,121.51486
34.8,405.2134,1,24.97349,121.53372
6.3,90.45606,9,24.97433,121.5431
13.0,492.2313,5,24.96515,121.53737
20.4,2469.645,4,24.96108,121.51046
13.2,1164.838,4,24.99156,121.53406
35.7,579.2083,2,24.9824,121.54619
0.0,292.9978,6,24.97744,121.54458
17.7,350.8515,1,24.97544,121.53119
16.9,368.1363,8,24.9675,121.54451
1.5,23.38284,7,24.96772,121.54102
4.5,2275.877,3,24.96314,121.51151
10.5,279.1726,7,24.97528,121.54541
14.7,1360.139,1,24.95204,121.54842
10.1,279.1726,7,24.97528,121.54541
39.6,480.6977,4,24.97353,121.53885
29.3,1487.868,2,24.97542,121.51726
3.1,383.8624,5,24.98085,121.54391
10.4,276.449,5,24.95593,121.53913
19.2,557.478,4,24.97419,121.53797
7.1,451.2438,5,24.97563,121.54694
25.9,4519.69,0,24.94826,121.49587
29.6,769.4034,7,24.98281,121.53408
37.9,488.5727,1,24.97349,121.53451
16.5,323.655,6,24.97841,121.54281
15.4,205.367,7,24.98419,121.54243
13.9,4079.418,0,25.01459,121.51816
14.7,1935.009,2,24.96386,121.51458
12.0,1360.139,1,24.95204,121.54842
3.1,577.9615,6,24.97201,121.54722
16.2,289.3248,5,24.98203,121.54348
13.6,4082.015,0,24.94155,121.50381
16.8,4066.587,0,24.94297,121.50342
36.1,519.4617,5,24.96305,121.53758
34.4,512.7871,6,24.98748,121.54301
2.7,533.4762,4,24.97445,121.54765
36.6,488.8193,8,24.97015,121.54494
21.7,463.9623,9,24.9703,121.54458
35.9,640.7391,3,24.97563,121.53715
24.2,4605.749,0,24.94684,121.49578
29.4,4510.359,1,24.94925,121.49542
21.7,512.5487,4,24.974,121.53842
31.3,1758.406,1,24.95402,121.55282
32.1,1438.579,3,24.97419,121.5175
13.3,492.2313,5,24.96515,121.53737
16.1,289.3248,5,24.98203,121.54348
31.7,1160.632,0,24.94968,121.53009
33.6,371.2495,8,24.97254,121.54059
3.5,56.47425,7,24.95744,121.53711
30.3,4510.359,1,24.94925,121.49542
13.3,336.0532,5,24.95776,121.53438
11.0,1931.207,2,24.96365,121.51471
5.3,259.6607,6,24.97585,121.54516
17.2,2175.877,3,24.96303,121.51254
2.6,533.4762,4,24.97445,121.54765
17.5,995.7554,0,24.96305,121.54915
40.1,123.7429,8,24.97635,121.54329
1.0,193.5845,6,24.96571,121.54089
8.5,104.8101,5,24.96674,121.54067
30.4,464.223,6,24.97964,121.53805
12.5,561.9845,5,24.98746,121.54391
6.6,90.45606,9,24.97433,121.5431
35.5,640.7391,3,24.97563,121.53715
32.5,424.5442,8,24.97587,121.53913
13.8,4082.015,0,24.94155,121.50381
6.8,379.5575,10,24.98343,121.53762
12.3,1360.139,1,24.95204,121.54842
35.9,616.4004,3,24.97723,121.53767
20.5,2185.128,3,24.96322,121.51237
38.2,552.4371,2,24.97598,121.53381
18.0,1414.837,1,24.95182,121.54887
11.8,533.4762,4,24.97445,121.54765
30.8,377.7956,6,24.96427,121.53964
13.2,150.9347,7,24.96725,121.54252
25.3,2707.392,3,24.96056,121.50831
15.1,383.2805,7,24.96735,121.54464
0.0,338.9679,9,24.96853,121.54413
1.8,1455.798,1,24.9512,121.549
16.9,4066.587,0,24.94297,121.50342
8.9,1406.43,0,24.98573,121.52758
23.0,3947.945,0,24.94783,121.50243
0.0,274.0144,1,24.9748,121.53059
9.1,1402.016,0,24.98569,121.5276
20.6,2469.645,4,24.96108,121.51046
31.9,1146.329,0,24.9492,121.53076
40.9,167.5989,5,24.9663,121.54026
8.0,104.8101,5,24.96674,121.54067
6.4,90.45606,9,24.97433,121.5431
28.4,617.4424,3,24.97746,121.53299
16.4,289.3248,5,24.98203,121.54348
6.4,90.45606,9,24.97433,121.5431
17.5,964.7496,4,24.98872,121.53411
12.7,170.1289,1,24.97371,121.52984
1.1,193.5845,6,24.96571,121.54089
0.0,208.3905,6,24.95618,121.53844
32.7,392.4459,6,24.96398,121.5425
0.0,292.9978,6,24.97744,121.54458
17.2,189.5181,8,24.97707,121.54308
12.2,1360.139,1,24.95204,121.54842
31.4,592.5006,2,24.9726,121.53561
4.0,2147.376,3,24.96299,121.51284
8.1,104.8101,5,24.96674,121.54067
33.3,196.6172,7,24.97701,121.54224
9.9,2102.427,3,24.96044,121.51462
14.8,393.2606,6,24.96172,121.53812
30.6,143.8383,8,24.98155,121.54142
20.6,737.9161,2,24.98092,121.54739
30.9,6396.283,1,24.94375,121.47883
13.6,4197.349,0,24.93885,121.50383
25.3,1583.722,3,24.96622,121.51709
16.6,289.3248,5,24.98203,121.54348
13.3,492.2313,5,24.96515,121.53737
13.6,492.2313,5,24.96515,121.53737
31.5,414.9476,4,24.98199,121.54464
0.0,185.4296,0,24.9711,121.5317
9.9,279.1726,7,24.97528,121.54541
1.1,193.5845,6,24.96571,121.54089
38.6,804.6897,4,24.97838,121.53477
3.8,383.8624,5,24.98085,121.54391
41.3,124.9912,6,24.96674,121.54039
38.5,216.8329,7,24.98086,121.54162
29.6,535.527,8,24.98092,121.53653
4.0,2147.376,3,24.96299,121.51284
